chance,3840
meet,3834
book,3831
office,3818
longer,3797
men,3792
nice,3789
kill,3783
near,3760
class,3759
news,3754
brought,3724
green,3723
early,3711
window,3699
closer,3690
watch,3680
sent,3674
word,3674
fire,3650
child,3622
children,3600
fine,3597
spoke,3597
expected,3594
followed,3586
weeks,3581
human,3574
former,3571
working,3564
staring,3542
win,3538
six,3524
several,3523
wait,3520
os,3515
strong,3477
TRUE,3475
line,3472
makes,3472
police,3472
wall,3470
happen,3468
raised,3463
yelled,3463
neck,3460
including,3447
portfolio,3434
knows,3433
completely,3431
possible,3419
hell,3414
number,3414
food,3412
party,3405
okay,3393
given,3389
sister,3382
break,3378
report,3360
fingers,3358
important,3351
figure,3340
site,3332
added,3304
instead,3301
died,3288
third,3272
thoughts,3267
bring,3238
immediately,3237
based,3231
silence,3228
ya,3224
giving,3221
exactly,3212
pay,3200
whether,3197
stand,3196
comes,3195
problem,3184
simply,3184
skin,3172
picked,3159
became,3155
finished,3153
baby,3152
living,3149
worry,3146
realized,3144
smiling,3138
seem,3123
seeing,3120
toward,3116
fun,3113
control,3112
soft,3108
meant,3102
seat,3102
clear,3091
anymore,3088
wants,3064
las,3057
answered,3056
shirt,3051
brown,3046
jumped,3041
lead,3016
according,3010
sense,3005
return,3004
placed,2981
turning,2980
passed,2975
playing,2965
chair,2960
step,2960
stupid,2960
straight,2956
seems,2945
dropped,2941
country,2929
surprised,2924
continue,2906
upon,2906
changed,2894
final,2876
within,2864
shut,2863
supposed,2861
however,2858
form,2848
normal,2837
perfect,2834
appeared,2830
likely,2821
hour,2820
stepped,2817
women,2816
blonde,2815
minute,2815
laugh,2807
pushed,2806
earlier,2793
often,2793
sit,2793
anyway,2786
gets,2770
broke,2768
fast,2767
write,2764
share,2757
ten,2748
sort,2736
rolled,2726
city,2723
using,2723
wearing,2712
attack,2706
kissed,2702
em,2701
building,2694
wish,2693
stuff,2691
hate,2686
haired,2684
record,2681
boys,2668
low,2668
meeting,2667
information,2666
above,2662
means,2659
daughter,2658
future,2656
desk,2655
softly,2651
wife,2651
support,2643
led,2642
surprise,2641
older,2640
leaned,2627
fear,2621
song,2620
corner,2615
beside,2613
middle,2608
points,2606
hot,2602
president,2601
speak,2601
reading,2599
del,2598
managed,2595
single,2595
round,2581
dad,2578
companies,2571
gently,2564
kids,2564
quietly,2562
kitchen,2556
knowing,2553
liked,2549
mi,2548
filled,2547
quiet,2547
mom,2540
yourself,2539
returned,2538
yes,2536
mine,2528
paper,2523
sky,2523
area,2521
prices,2521
public,2518
economy,2515
beat,2508
telling,2503
headed,2494
moving,2489
fighting,2475
officials,2465
huge,2461
pink,2456
entire,2455
rose,2452
easy,2449
music,2448
needs,2444
age,2443
goes,2439
warm,2439
clothes,2433
threw,2433
laughing,2429
starting,2425
ahead,2422
ones,2417
takes,2415
rate,2414
grinned,2408
worried,2408
showed,2402
order,2399
whatever,2395
military,2393
shouted,2393
save,2389
worked,2389
town,2384
especially,2378
tree,2374
position,2367
situation,2362
further,2361
wide,2355
expression,2347
campaign,2346
following,2345
search,2338
spent,2337
loud,2336
games,2334
strange,2334
tone,2334
angry,2332
serious,2332
confused,2331
members,2331
sun,2331
covered,2326
bag,2324
service,2318
battle,2313
pick,2313
falling,2312
stocks,2311
questions,2308
grin,2301
among,2299
shoulders,2299
themselves,2298
helped,2297
barely,2296
cry,2293
certain,2290
cried,2281
wonder,2269
glanced,2259
main,2258
statement,2258
crying,2257
leader,2256
played,2255
recent,2251
sight,2246
sign,2245
energy,2244
financial,2243
cause,2242
ser,2241
video,2241
entered,2240
writing,2240
piece,2239
major,2235
dream,2233
force,2232
credit,2228
ended,2226
eat,2222
bright,2220
pointed,2216
touch,2211
gotten,2210
court,2205
self,2204
seconds,2201
review,2200
hospital,2199
stairs,2199
usually,2199
notice,2197
kid,2190
race,2186
remembered,2186
security,2184
tired,2179
plans,2178
cheek,2174
foot,2174
simple,2174
special,2174
ear,2171
pulling,2171
mas,2170
sometimes,2170
students,2155
space,2147
agreed,2141
par,2139
miss,2135
check,2134
legs,2131
interest,2130
forced,2129
gaze,2120
broken,2119
trouble,2114
pull,2113
stomach,2113
seven,2112
silent,2110
chapter,2109
buy,2107
picture,2104
na,2102
per,2102
quick,2099
familiar,2094
announced,2092
allowed,2090
cool,2085
reported,2084
box,2083
tout,2083
mission,2082
tomorrow,2080
catch,2079
comment,2076
couch,2073
system,2073
wrapped,2066
usual,2061
tonight,2058
lay,2055
mon,2055
due,2047
oil,2043
forget,2042
itself,2040
throat,2040
although,2031
decision,2030
direction,2026
calm,2025
political,2024
released,2023
shock,2020
date,2019
wrote,2019
sigh,2006
post,2005
note,2001
health,1998
ball,1996
safe,1992
arrived,1991
missed,1991
beginning,1988
except,1987
empty,1986
quarter,1983
afraid,1980
higher,1980
characters,1979
scared,1979
lives,1976
reach,1974
asleep,1972
conversation,1971
problems,1971
posted,1968
worse,1966
pair,1961
screamed,1953
worth,1950
anger,1945
er,1944
key,1943
pass,1939
guide,1938
follow,1928
training,1925
muttered,1920
summer,1920
truth,1919
wake,1911
vote,1910
economic,1905
spot,1905
hated,1902
hoping,1896
sad,1895
dress,1893
husband,1893
letter,1893
level,1887
fit,1882
putting,1877
glass,1876
wind,1875
lower,1872
offer,1871
waited,1865
feelings,1864
lying,1863
ears,1860
snapped,1860
street,1858
eight,1856
smirked,1853
village,1852
results,1848
sweet,1848
road,1847
younger,1847
asking,1844
despite,1844
growing,1843
expect,1842
media,1839
wondered,1839
choice,1837
sales,1835
opening,1834
players,1831
finger,1830
finish,1825
promise,1822
written,1821
alive,1819
crowd,1816
nose,1816
lose,1815
forever,1808
loss,1807
coffee,1806
relationship,1806
shrugged,1805
rain,1793
cat,1792
movie,1791
apartment,1790
dinner,1789
hearing,1789
response,1788
haven,1785
forehead,1774
sudden,1774
stories,1772
current,1769
yeah,1768
wondering,1766
match,1761
recently,1754
whose,1753
easily,1752
action,1751
books,1748
heavy,1746
drop,1743
hers,1743
price,1743
steps,1743
official,1742
stuck,1742
favorite,1738
protect,1737
darkness,1736
secret,1736
bank,1734
obviously,1734
personal,1732
ways,1731
filed,1729
history,1728
view,1727
coach,1726
moments,1722
shaking,1721
cannot,1720
list,1719
calling,1716
sword,1715
issue,1713
missing,1713
study,1707
losers,1706
risk,1701
sounded,1701
none,1698
trust,1698
faces,1697
hall,1697
fourth,1695
shocked,1695
definitely,1694
markets,1694
married,1694
pale,1694
sleeping,1693
glad,1691
begin,1689
listen,1687
cheeks,1680
certainly,1679
funny,1678
ring,1676
letting,1673
term,1673
send,1671
edge,1670
lifted,1670
named,1670
stock,1669
teacher,1669
calls,1668
explained,1667
grew,1662
star,1661
color,1659
strength,1657
oh,1656
investors,1651
failed,1648
enjoy,1647
spend,1647
tax,1646
resource,1644
somewhere,1641
process,1640
series,1639
doctor,1638
visit,1633
complete,1631
ma,1631
chief,1630
apart,1627
blond,1627
caused,1626
gun,1625
thank,1624
evil,1623
explain,1622
law,1622
act,1619
cost,1617
difficult,1616
truly,1616
weak,1616
glared,1615
clearly,1614
biz,1612
